0,,"――そうですか、残念です
ではせめてこれをお持ち下さい","Oh, I see. That's too bad. Well, please at least
take this with you.",ui\00_message\npc\base\n9011.gmd,\npc\n9011.arc,n9011.arc,1,,,,,,,,,
0,FUNC_CLASS_NAME_3,よろず屋,Loja Geral,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,0,,,,,,,,,
1,FUNC_CLASS_NAME_4,道具屋,Loja de Itens,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,1,,,,,,,,,
2,FUNC_CLASS_NAME_5,武具屋,Loja de Equipamentos,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,2,,,,,,,,,
3,FUNC_CLASS_NAME_6,素材屋,Loja de Materiais,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,3,,,,,,,,,
4,FUNC_CLASS_NAME_7,宿屋,Pousada,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,4,,,,,,,,,
5,FUNC_CLASS_NAME_8,武器屋,Loja de Armas,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,5,,,,,,,,,
6,FUNC_CLASS_NAME_9,防具屋,Loja de Armaduras,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,6,,,,,,,,,
7,FUNC_CLASS_NAME_10,戦技補佐,Suporte de Artes,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,7,,,,,,,,,
8,FUNC_CLASS_NAME_11,転職・戦技補佐,Vocação / Suporte de Artes,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,8,,,,,,,,,
9,FUNC_CLASS_NAME_12,グランドミッション,Grande Missão,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,9,,,,,,,,,
10,FUNC_CLASS_NAME_13,冒険仲介係,Corretor de Aventura,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,10,,,,,,,,,
11,FUNC_CLASS_NAME_14,クラン酒場,Taverna do Clã,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,11,,,,,,,,,
12,FUNC_CLASS_NAME_15,クラフト係官,Oficial de Criação,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,12,,,,,,,,,
13,FUNC_CLASS_NAME_16,美容院,Salão de Beleza,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,13,,,,,,,,,
14,FUNC_CLASS_NAME_17,レスタニアニュース,Notícias de Lestania,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,14,,,,,,,,,
15,FUNC_CLASS_NAME_18,竜力の継承,Amplificação da Força Dracônica,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,15,,,,,,,,,
16,FUNC_CLASS_NAME_19,オーブ交換：クレスト,Troca de Orbe: Cristas,ui\00_message\npc\func_class_name.gmd,\ui\gui_cmn.arc,uGUICharacter.arc,16,,,,,,,,,
